,name,album,artist,release_date,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Du hast,Sehnsucht,Rammstein,1997-08-25,71,5awDvzxWfd53SSrsRZ8pXO,0.64,0.922,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.105,234227,4
1,The Trooper - 2015 Remaster,Piece of Mind (2015 Remaster),Iron Maiden,1983,71,4OROzZUy6gOWN4UGQVaZMF,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,252733,4
2,Screaming Eagles,Coat of Arms,Sabaton,2010-05-21,52,5W8Iqq2Wl4yTW2Q6X47v7p,0.442,0.952,9,-2.765,0,0.0903,0.00283,0.000164,0.304,0.316,167.08,247520,4
3,Heartless Madness,The Dark Delight,Dynazty,2020-04-03,61,4QaxyJsbo5AR3bnEB7ko8h,0.429,0.942,2,-4.763,1,0.0519,7.15e-05,2.58e-05,0.213,0.571,153.061,239867,4
4,Dance Macabre,Prequelle,Ghost,2018-06-01,59,1E2WTcYLP1dFe1tiGDwRmT,0.619,0.696,7,-6.269,0,0.0315,1.89e-05,0.00555,0.38,0.727,125.986,219720,4
5,Can You Feel My Heart,Sempiternal (Expanded Edition),Bring Me The Horizon,2013-04-01,78,0WSa1sucoNRcEeULlZVQXj,0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,228147,5
6,VAMPIR (feat. Oli Sykes of Bring Me The Horizon),Kiss Of Death,IC3PEAK,2022-04-22,46,6LUq1OaSbPwURziaLXmOvZ,0.682,0.621,11,-12.246,1,0.0369,0.00379,0.0106,0.336,0.303,107.012,142250,4
7,Through The Fire And Flames,Inhuman Rampage,DragonForce,2006-01-09,64,2eB7JqIY4hTTSz31h6bjwR,0.153,0.953,0,-4.74,0,0.122,0.00152,0.0062,0.366,0.14,199.892,439120,4
8,Rainbow In The Dark,Holy Diver,Dio,1983,64,5qFxuUIAwJlzO60vqOiL7y,0.508,0.912,9,-8.049,0,0.0368,7.06e-05,0.403,0.0492,0.682,117.582,252693,4
9,Falling Away from Me,Issues,Korn,1999-11-09,70,2F6FfZ4w8z3eJpSxPotVO5,0.468,0.769,4,-7.036,1,0.041,0.00014,0.00124,0.271,0.17,104.102,270920,4
10,Down with the Sickness,The Sickness,Disturbed,2000-03-07,74,40rvBMQizxkIqnjPdEWY1v,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,279213,4
11,Stormtroopers,The War to End All Wars,Sabaton,2022-03-04,65,7cUHFTxJhxtZ5tpY34SMRw,0.515,0.992,7,-6.32,1,0.08,0.0011,6.86e-06,0.382,0.112,122.017,236000,4
12,Snuff,All Hope Is Gone (10th Anniversary),Slipknot,2008-08-20,60,2vPZ4Lklyu75zBR3SgbFNI,0.544,0.69,6,-5.723,0,0.0425,0.012,0.0095,0.0615,0.219,123.962,276147,4
13,Breaking the Law,British Steel,Judas Priest,1980,68,2RaA6kIcvomt77qlIgGhCT,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,4
14,Hail to the King,Hail to the King,Avenged Sevenfold,2013-08-23,74,5anCkDvJ17aznvK5TED5uo,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,305907,4
15,Dark Side,Dark Side,Blind Channel,2021-01-21,64,1ovFnZv6mUe0LzAbfVqOmh,0.571,0.955,7,-3.795,1,0.105,0.00254,1.55e-06,0.274,0.437,98.01,177790,4
16,Y'all Want a Single,Take A Look In The Mirror,Korn,2003-11-19,60,2WSWm0zlL3CJRACHS5KXbB,0.756,0.811,0,-3.685,1,0.0836,0.0107,0.0,0.538,0.715,118.034,197907,4
17,Be Quiet and Drive (Far Away),Around the Fur,Deftones,1997-10-27,70,4Uiw0Sl9yskBaC6P4DcdVD,0.206,0.965,1,-5.116,1,0.079,9.91e-06,0.827,0.367,0.168,92.615,299867,4
18,Wasted Years - 2015 Remaster,Somewhere in Time (2015 Remaster),Iron Maiden,1986,63,1HM7Vp84E4SMzdrZONg6bH,0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.492,154.221,309640,4
19,Stricken,Ten Thousand Fists,Disturbed,2005-09-19,70,6RJdYpFQwLyNfDc5FbjkgV,0.402,0.969,8,-2.825,1,0.181,9.14e-05,0.0325,0.225,0.262,173.847,245227,4
20,Wrong Side Of Heaven,The Wrong Side Of Heaven & The Righteous Side Of Hell,Five Finger Death Punch,2013-01-01,15,3kIUfM6UvDTKfQqIhmV7El,0.48,0.929,4,-4.575,0,0.0893,0.00835,0.0,0.218,0.545,150.009,271000,4
21,One,...And Justice For All,Metallica,1988-08-25,70,5IX4TbIR5mMHGE4wiWwKW0,0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,447440,3
22,Ich will,Mutter,Rammstein,2001-04-02,66,3X0K6fII7VIwL1URPrp8Ko,0.648,0.896,2,-4.254,1,0.041,0.00138,0.000819,0.0879,0.468,128.115,217107,4
23,Holy Diver,Holy Diver,Dio,1983,64,54yLLvpezvPO1lA3GspiZj,0.473,0.783,10,-10.671,0,0.0869,0.0125,0.475,0.268,0.124,91.976,340640,4
24,Winged Hussars,The Last Stand,Sabaton,2016-08-19,59,4HVuyLPE90zk19NYv55dzX,0.541,0.915,6,-5.368,0,0.0312,0.00536,0.000149,0.739,0.676,91.998,231522,4
